Record,Unique_ID,EQR,P,Exclude_P,N,Exclude_N,BioClass,Group
1,1,0.781,55.3,0,1.39,0,4,BE
2,5,0.771,76,0,4.33,0,4,BE
3,50,0.505,57.2,0,1.22,0,3,DE
4,59,1.015,44.4,0,1.09,0,5,DE
5,60,0.661,28.6,0,0.64,0,4,DE
6,63,0.438,93.3,0,1.19,0,3,DE
7,64,0.833,31.4,0,0.4,0,5,DE
8,69,1.005,19.5,0,0.88,0,5,DE
9,102,0.714,45.6,0,1.55,0,4,DE
10,110,0.731,29.2,0,0.83,0,4,DE
11,111,0.593,38.8,0,1.07,0,3,DE
12,126,0.739,28.6,0,0.61,0,4,DE
13,136,0.513,79.8,0,1.12,0,3,DE
14,138,0.695,180.8,1,0.87,0,4,DE
15,141,0.485,50.4,0,0.79,0,3,DE
16,143,0.885,23.4,0,0.91,0,5,DE
17,146,0.534,52.2,0,1.34,0,3,DE
18,157,0.729,57,0,2.07,0,4,DK
19,158,0.405,63.8,0,1.34,0,3,DK
20,163,0.451,96.1,0,3.59,0,3,DK
21,168,0.431,56,0,0.98,0,3,DK
22,170,0.664,52.6,0,0.65,0,4,DK
23,171,0.468,155.7,0,1.14,0,3,DK
24,172,0.446,80.7,0,1.06,0,3,DK
25,175,1.509,12.6,0,0.34,0,5,DK
26,176,0.854,17,0,0.81,0,5,EE
27,178,0.812,27,0,2.04,0,5,EE
28,179,0.645,45.5,0,1.38,0,4,EE
29,181,0.603,21,0,1.56,0,4,EE
30,183,0.825,23.5,0,0.59,0,5,EE
31,185,0.845,18,0,0.66,0,5,EE
32,189,0.619,19,1,0.52,0,4,EE
33,190,0.876,24,0,0.74,0,5,EE
34,219,0.834,15,0,0.96,0,5,LT
35,224,0.942,41.8,0,1.06,0,5,LT
36,226,0.55,36.5,0,0.62,0,3,LT
37,228,1.009,27.5,0,0.52,0,5,LT
38,238,0.603,52.5,0,0.64,0,4,LT
39,241,1.098,18.5,0,0.82,0,5,LT
40,242,0.952,17,0,0.61,0,5,LT
41,246,1.017,26.8,0,0.49,0,5,LT
42,248,1.148,18,0,0.65,0,5,LT
43,252,0.898,17.8,0,0.5,0,5,LV
44,254,1.122,25.5,0,0.68,0,5,LV
45,257,1.302,28,1,0.74,0,5,LV
46,262,1.071,17,0,0.52,0,5,LV
47,263,0.974,16,0,0.56,0,5,LV
48,269,1.182,25.5,0,0.58,0,5,LV
49,270,0.877,25,0,0.53,0,5,LV
50,272,0.22,160,0,2.78,0,2,LV
51,274,0.886,26,0,0.78,0,5,LV
52,275,0.872,43,0,1.04,0,5,LV
53,279,0.36,42,0,1.4,0,2,LV
54,303,1.099,54,1,0.62,0,5,LV
55,305,1.108,15,0,0.68,0,5,LV
56,308,0.703,18,0,1.44,0,4,NL
57,309,1.238,30,0,0.82,0,5,NL
58,319,0.948,34.5,0,0.36,0,5,PL
59,321,1.013,38,0,0.5,0,5,PL
60,322,0.553,62,0,1.32,0,3,PL
61,325,1.112,29.8,0,0.72,0,5,PL
62,328,0.692,48.5,0,0.73,0,4,PL
63,333,0.56,40.8,0,1.19,0,3,PL
64,336,0.522,51.8,0,1.64,0,3,PL
65,354,0.651,65,0,2.04,0,4,PL
66,355,0.493,91,0,1.17,0,3,PL
67,360,0.453,201.5,0,2.53,0,3,PL
68,361,0.61,45.5,0,0.47,0,4,PL
69,362,0.584,62.5,0,0.58,0,3,PL
70,363,0.574,43.3,0,1.58,0,3,PL
71,366,0.437,33,0,1.14,0,3,UK
72,368,0.552,169.7,0,1.38,0,3,UK
73,370,0.31,163.9,0,1.5,0,2,UK
74,391,0.844,10.7,0,0.59,0,5,UK
75,415,0.664,21,0,1.02,0,4,NO
76,416,0.812,22.5,0,0.26,0,5,NO
77,419,0.77,20,0,0.4,0,4,NO
78,427,0.521,40,0,3.53,0,3,NO
79,428,0.466,29,1,2.39,0,3,NO
80,432,0.394,40.5,0,2.85,0,2,NO
81,441,0.815,16.3,0,2.86,0,5,NO
82,447,0.827,15.9,0,2.06,0,5,NO
83,449,0.79,20,0,1.76,0,4,NO
84,452,1.006,8.3,0,0.17,0,5,NO
85,453,0.92,8.3,0,0.16,0,5,NO
86,454,1.088,10.2,0,0.23,0,5,NO
87,455,0.949,6.3,1,0.14,0,5,NO
88,458,1.265,9.3,0,0.27,0,5,NO
89,465,0.394,40.5,0,2.85,0,2,NO
90,467,0.531,48.5,0,1.11,0,3,SE
91,468,0.488,69.5,0,0.87,0,3,SE
92,476,0.375,71.5,0,1,0,2,SE
93,477,0.572,56,0,1.09,0,3,SE
94,483,0.971,8.5,0,0.83,0,5,SE
95,484,0.295,103.5,0,1.16,0,2,SE
96,485,0.359,95,0,1.13,0,2,SE
97,492,0.321,118.5,0,1.48,0,2,SE
98,494,0.061,103.5,0,0.94,0,2,SE
