Record,Unique_ID,EQR,P,Exclude_P,N,Exclude_N,BioClass,Group
1,Lake1,0.64,45,0,959,0,4,OR
2,Lake2,0.99,35,0,832,0,5,OR
3,Lake3,0.98,22,0,769,0,5,OR
4,Lake4,0.86,66,0,890,0,5,OR
5,Lake5,1,13,0,483,0,5,OR
6,Lake6,0.87,16,0,757,0,5,OR
7,Lake7,0.73,26,0,692,0,4,MA
8,Lake8,0.9,16,0,441,0,5,MA
9,Lake9,1.4,10,0,400,0,5,OR
10,Lake10,0.76,10,0,362,0,4,MA
11,Lake11,0.93,8,0,297,0,5,LA
12,Lake12,0.98,18,0,545,0,5,OR
13,Lake13,0.63,13,0,498,0,4,LA
14,Lake14,1.33,17,0,534,0,5,OR
15,Lake15,0.84,6,0,348,0,5,LA
16,Lake16,0.87,22,0,673,0,5,OR
17,Lake17,0.97,6,0,336,0,5,LA
18,Lake18,1.03,3,0,342,0,5,LA
20,Lake20,1.07,6,0,373,0,5,LA
21,Lake21,0.94,5,0,399,0,5,LA
22,Lake22,0.76,17,0,536,0,4,LA
24,Lake24,0.81,18,0,463,0,5,MA
25,Lake25,0.68,19,0,570,0,4,MA
26,Lake26,0.81,7,0,497,0,5,LA
27,Lake27,0.57,19,0,504,0,3,MA
28,Lake28,0.7,66,0,984,0,4,OR
30,Lake30,1.08,15,0,664,0,5,OR
31,Lake31,0.89,8,0,468,0,5,MA
32,Lake32,0.79,18,0,816,0,4,OR
33,Lake33,0.87,15,0,413,0,5,MA
34,Lake34,1.03,28,0,892,0,5,OR
35,Lake35,0.77,18,0,1103,0,4,OR
36,Lake36,0.83,43,0,758,0,5,OR
37,Lake37,0.77,25,0,1142,0,4,OR
38,Lake38,0.64,38,0,1261,0,4,OR
39,Lake39,0.88,198,0,1802,0,5,HA
40,Lake40,0.71,43,0,838,0,4,OR
41,Lake41,0.51,62,0,879,0,3,OR
43,Lake43,0.59,115,0,1640,0,3,HA
45,Lake45,1.19,12,0,777,0,5,OR
46,Lake46,1.17,14,0,819,0,5,OR
47,Lake47,0.4,226,0,1750,0,3,HA
48,Lake48,0.5,78,0,1752,0,3,OR
49,Lake49,0.38,372,0,859,0,2,HA
52,Lake52,0.48,77,0,3586,0,3,OR
54,Lake54,0.69,35,0,2349,0,4,HA
56,Lake56,0.81,302,0,2001,0,5,OR
58,Lake58,0.75,195,0,5330,0,4,OR
65,Lake65,0.38,63,0,1361,0,2,HA
66,Lake66,0.28,825,0,2780,0,2,HA
67,Lake67,0.42,112,0,3178,0,3,HA
68,Lake68,0.38,101,0,1716,0,2,HA
69,Lake69,0.42,62,0,,0,3,HA
