"Record","Unique_ID","EQR","P","Exclude_P","N","Exclude_N","BioClass","Group"
63,"Aland, Wanzer",22.2451680671786,183.214285714286,0,1885.71428571429,0,4,"15.1+17.1"
64,"Biese, Dobbrun",9.14453781514286,236.428571428571,0,2371.42857142857,0,5,"15.1+17.1"
65,"Bille am Pegel Sachsenwaldau",11.5335944444444,153.190476190476,0,2490.47619047619,0,5,"15.1+17.1"
66,"Bode, Egeln/Nord",6.48235294119524,157.142857142857,0,3035.71428571429,0,5,"15.1+17.1"
67,"Bode, Neugattersleben",13.8647058823381,134.285714285714,0,4867.85714285714,0,5,"15.1+17.1"
68,"Boize, Boizenburg",3.08821428571429,72.202380952381,0,2235.20833333333,0,5,"15.1+17.1"
69,"Bramau, Wrist, Höhe Eisenbahnbrücke",13.4571297459575,166.666666666667,0,4016.66666666667,0,5,"15.1+17.1"
70,"Ehle (Elbe), Biederitz",15.992623716227,61.5079365079365,0,2175.39682539683,0,4,"15.1+17.1"
71,"Ehle (Elbe), uh Dannigkow",9.10336134455714,145.238095238095,0,2752.38095238095,0,5,"15.1+17.1"
72,"Ehle (Elbe), uh Gommern",9.68823529409572,177.142857142857,0,2752.38095238095,0,5,"15.1+17.1"
73,"Elde, Dömitz",24.9629677421954,114.961904761905,0,1404.8380952381,0,4,"15.1+17.1"
74,"Elde, u. Parchim",12.9111111111111,117.269841269841,0,1870.08134920635,0,5,"15.1+17.1"
75,"Flutkanal, Memleben",17.6763382897596,250.797619047619,0,1789.69841269841,0,4,"15.1+17.1"
76,"Fuhne, Str.brücke Baalberge",6.58333333333333,286.666666666667,0,6486.90476190476,0,5,"15.1+17.1"
77,"Große Röder, uh. KA Gröditz",31.6857246334565,291.634615384615,0,7514.42307692308,0,3,"15.1+17.1"
78,"Havel, Mündung bei Gnevsdorf",14.5,170,0,1850,0,5,"15.1+17.1"
79,"Havel, oh Drewensee",18.1985193574731,106.835317460317,0,1130.32738095238,0,4,"15.1+17.1"
80,"Jeetzel, Seerau",11.2039012146558,64.5714285714286,0,815.714285714286,0,5,"15.1+17.1"
81,"Loecknitz, Doemitz",25.1542857142857,109.904761904762,0,1563.39682539683,0,4,"15.1+17.1"
82,"Moorgraben, Hohenschöpping",29.45,110.875,0,NA,0,3,"15.1+17.1"
83,"Müritz Havelkanal, o. Mirow",29.0218253968254,71.7559523809524,0,1387.76785714286,0,3,"15.1+17.1"
