"Record","Unique_ID","EQR","P","Exclude_P","N","Exclude_N","BioClass","Group"
140,"Alte Elbe (Magdeburg)",83.6754901955,160,0,4366.66666666667,0,2,"20.2"
141,"Alte Elbe (Umflut-Ehle)",30.1012605041595,121.904761904762,0,2505.95238095238,0,4,"20.2"
142,"Dahme, Bindow",54.1399951851057,89.9375,0,1342.5,0,3,"20.2"
143,"Dahme, Niederlehme",77.65,148,0,NA,0,2,"20.2"
144,"Elbe, Boizenburg",103.614285714286,153.125,0,3043.23412698413,0,2,"20.2"
145,"Elbe, Breitenhagen links",96.5771760555018,162.740929705215,0,3876.80776014109,0,2,"20.2"
146,"Elbe, Breitenhagen rechts",102.150793650794,164.259259259259,0,3991.07142857143,0,2,"20.2"
147,"Elbe, Cumlosen",87.923835978836,147.779365079365,0,2704.36507936508,0,2,"20.2"
148,"Elbe, Dömitz",86.1121428571429,142.160714285714,0,2792.65476190476,0,2,"20.2"
149,"Elbe, Dommitzsch, links",87.4086155942247,175.847300716095,0,5109.56551313635,0,2,"20.2"
150,"Elbe, Geesthacht",116.32130167865,140.701587301587,0,2960.07936507936,0,2,"20.2"
151,"Elbe, Magdeburg links",76.9490421245421,177.301587401587,0,4356.19047619048,0,2,"20.2"
152,"Elbe, Magdeburg rechts",103.483333333333,168.553287981859,0,3996.38888888889,0,2,"20.2"
153,"Elbe, Sandau, links",110.05930335097,181.584821678571,0,3956.52557319224,0,2,"20.2"
154,"Elbe, Sandau, rechts",118.43253968254,176.511243291005,0,4057.42630385488,0,2,"20.2"
155,"Elbe, Schnackenburg",100.436596119929,147.918518518519,0,3261.21693121693,0,2,"20.2"
156,"Elbe, Seemannshöft",46.6548433048433,136.541666666667,0,3177.7380952381,0,3,"20.2"
157,"Elbe, Tangermünde li",102.680267932143,177.066326959184,0,3877.43764172336,0,2,"20.2"
158,"Elbe, Tangermünde re",113.86351874076,179.811507722222,0,4081.71768707483,0,2,"20.2"
159,"Elbe, Wahrenberg li",125.250119882127,142.787840862841,0,3191.02040816327,0,1,"20.2"
160,"Elbe, Wahrenberg re",77.5,170,0,3400,0,2,"20.2"
161,"Elbe, Wittenberg",79.0428571428571,128.142857142857,0,3836.0119047619,0,2,"20.2"
162,"Elbe, Zollenspieker",118.699603174603,114.066666666667,0,3069.62962962963,0,2,"20.2"
163,"Elbe-Hafen MD",39.99901960775,90,0,4000,0,4,"20.2"
164,"Havel, Borgsdorf",10.1120742106569,108.75,0,867.5,0,5,"20.2"
165,"Havel, Göttlin",36.1798015873016,199.469047619048,0,1367.7619047619,0,4,"20.2"
166,"Havel, Milow-Ausbau",10.3226655077669,140.625,0,1487.5,0,5,"20.2"
167,"Havel, Neue Fahrt",22.8535699483251,261.794117647059,0,2541.17647058824,0,5,"20.2"
168,"Havel, Potsdam, Humboldtbrücke",45.0589087301587,183.363211951447,0,3269.39122315593,0,3,"20.2"
169,"Havel, uh Toppel",38.2051536480389,196.714285714286,0,1715.35714285714,0,4,"20.2"
201,"Oder, Friedrichsthal",76.4460085992549,160.857954545455,0,2690.90909090909,0,2,"20.2"
202,"Oder, Hohenwutzenhausen",75.2503968253968,184.989285714286,0,1964.10714285714,0,2,"20.2"
203,"Oder, Lunower Dammhaus",55.3445171126972,154.350264550265,0,2158.04232804233,0,3,"20.2"
204,"Oder, Neubleyen",92.0511315348243,151,0,NA,0,2,"20.2"
205,"Westoder, Staffelde",49.9404886776632,150.655555555556,0,2400,0,3,"20.2"
327,"Weser, Drakenburg",57.5618756278116,191.904761904762,0,3498.80952380952,0,3,"20.2"
328,"Weser, Hemelingen",32.7065469544757,112.209895833333,0,3394.73958333333,0,4,"20.2"
