"Record","Unique_ID","EQR","P","Exclude_P","N","Exclude_N","BioClass","Group"
47,"Bongsieler Kanal, Schlüttsiel",29.9103611111111,113.571428571429,0,2542.85714285714,0,4,"23"
48,"Broklandsau, nördlich Hennstedt",57.195833325,202.5,0,2475,0,3,"23"
49,"Eider, bei Schleuse Nordfeld (Oberstrom)",41.3326488095238,222.160714285714,0,2883.48214285714,0,3,"23"
50,"Eider, obh. Friedrichstadt (L156)",75.3549047571429,305.714285714286,0,3142.85714285714,0,2,"23"
51,"Eider, Straßenbrücke der B5 bei Tönning",23.4130845238095,336.547619047619,0,3268.30357142857,0,4,"23"
52,"Eider, vor Schleuse Lexfähre",13.1015238085714,191.428571428571,0,3328.57142857143,0,5,"23"
53,"Eider/Straßenbr. Pahlen",23.2923809514286,182.857142857143,0,2657.14285714286,0,5,"23"
54,"Lecker Au, bei Broweg",10.9625714292,116.571428571429,0,2157.14285714286,0,5,"23"
55,"Lecker Au, Straßenbrücke L10",9.31977143,84.6,0,2000,0,5,"23"
56,"Soholmer Au - Kanal, Str.brücke L10",12.068342858,75.2,0,2180,0,5,"23"
57,"Soholmer Au - Kanal, Str.brücke zw Siekedieks",9.129485714,78.2,0,2240,0,5,"23"
58,"Soholmer Au, Str.brücke L4 bei Soholmbrück",7.3210666666,84.4285714285714,0,2371.42857142857,0,5,"23"
59,"Tielenau, Tielenau",75.383535725,255,0,2675,0,2,"23"
60,"Treene, Friedrichstadt Hauptschleuse",57.677816666875,136.928571428571,0,2897.58928571429,0,3,"23"
170,"Elbe, Scharhörn",14.6041666666667,63.3854166666667,0,827.604166666667,0,5,"23"
171,"Stör bei Heiligenstedten, Klappbrücke",106.649461640397,171.857142857143,0,3486.90476190476,0,2,"23"
206,"Randow, Eggesin",5.54031746031746,144.634920634921,0,2131.6746031746,0,5,"23"
207,"Uecker, Holländer Mühle",8.40571428571429,123.184523809524,0,1897.52976190476,0,5,"23"
208,"Uecker, Ueckermünde Hafen",9.09611111111111,134.6875,0,2088.97420634921,0,5,"23"
281,"Maurine, u. Schönberg",4.60166666666667,76.563492063492,0,2407.20634920635,0,5,"23"
282,"Stepenitz, Rodenberg",12.8230664841668,119.003968253968,0,3326.05952380952,0,5,"23"
293,"Koerkwitzer Bach, Koerkwitz",10.86,171.666666666667,0,3850.95238095238,0,5,"23"
294,"Ostziese, Wolgast",8.95714285714286,184.285714285714,0,3490.47619047619,0,5,"23"
295,"Peene, Anklam Hafen",19.6422380952381,150.509523809524,0,2319.70952380952,0,5,"23"
296,"Peene, Jarmen",20.8083986583797,139.511904761905,0,2318.02380952381,0,5,"23"
297,"Peene, o. Demmin",12.4411337869335,120.926870748299,0,1768.86507936508,0,5,"23"
298,"Peene, Pensin",17.9466666666667,127.428571428571,0,1988.7619047619,0,5,"23"
299,"Randkanal, Jemnitzer Schleuse",5.33142857142857,177.02380952381,0,4547.7380952381,0,5,"23"
300,"Recknitz, Marlow",4.31142857142857,104.396825396825,0,2006.33333333333,0,5,"23"
301,"Recknitz, Ribnitz",17.9548116421422,136.891156462585,0,2195.67346938776,0,5,"23"
302,"Rosenhäger Beck, Anklamer Fähre",36.7754739721773,703.333333333333,0,1543.33333333333,0,4,"23"
303,"Ryck, Groß Petershagen",10.9210317460317,98.8095238095238,0,3547.14285714286,0,5,"23"
304,"Ryck, o. Greifswald",23.4394428553306,229.591836734694,0,3081.29795918367,0,4,"23"
305,"Tollense, Mühlenhagen/Kessin",8.40022081814924,126.321428571429,0,2200.17857142857,0,5,"23"
306,"Trebel, Wotenick u.",26.9015873015873,167.444444444444,0,2685.07936507936,0,4,"23"
307,"Uhlenbäk, Flemendorf",19.9657142857143,656.011904761905,0,6527.90476190476,0,5,"23"
308,"Warnow, Kessin",25.400125,109.630952380952,0,1757.69880952381,0,4,"23"
309,"Warnow, u. Schwaan",20.5137691182905,116.112244897959,0,1726.03571428571,0,5,"23"
310,"Warnow, Werle",20.2635098290212,116.025510204082,0,1604.30782312925,0,5,"23"
311,"Zarow, Grambin",20.3564276741252,149.013605442177,0,2644.31292517007,0,5,"23"
312,"Zipker Bach, Zipke",77.2697916666667,249.925595238095,0,7175.68452380952,0,2,"23"
